;;;;;;;;;;;;;;;;;;;;Moyenne;Variance;Ecart type;;m‚diance;;;;;;;
;;IdOp100;SN;Colonne2;Type;DateStart;OCV;ACIR;InsuP;InsuN;TC1;TC2;VC1;VC2;VC3;VC4;VC5;VC6;VC7;23.37;0.000277097;0.016646243;;23.37;;;;;;;
23.35;23.74319228;1716;0B5MEVA001A45JCA20000394;494;3551;30/06/2023 11:43;23.37;2.54;9999;9999;23;23;3888;3896;3895;3895;3895;3895;0;;;;23.74319228;;;;;;;;
23.35;21.51915268;1715;0B5MEVA001A45JCA20000475;646;3551;30/06/2023 11:42;23.38;2.56;9999;9999;23;23;3895;3894;3900;3895;3894;3899;1;;;;21.51915268;;;;;;;;
23.35;23.74319228;1714;0B5MEVA001A45JC9Y0000216;493;3551;30/06/2023 11:40;23.37;2.54;9999;9999;23;23;3895;3893;3903;3892;3892;3893;0;;;;23.74319228;;;;;;;;
23.35;18.26094097;1713;0B5MEVA001A45JC9X0000278;356;3551;30/06/2023 11:39;23.36;2.52;9999;9999;23;23;3893;3892;3892;3895;3893;3893;0;;;;18.26094097;;;;;;;;
23.35;9.789878366;1712;0B5MEVA001A45JC9Y0000220;125;3551;30/06/2023 11:39;23.35;2.52;9999;9999;23;23;3887;3894;3894;3893;3892;3894;0;;;;9.789878366;;;;;;;;
23.35;23.74319228;1711;0B5MEVA001A45JC9X0000435;492;3551;30/06/2023 11:38;23.37;2.53;9999;9999;23;23;3896;3898;3894;3894;3893;3892;0;;;;23.74319228;;;;;;;;
23.35;18.26094097;1710;0B5MEVA001A45JC9X0000399;355;3551;30/06/2023 11:37;23.36;2.52;9999;9999;23;23;3894;3893;3892;3899;3893;3892;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1709;0B5MEVA001A45JC9X0000208;354;3551;30/06/2023 11:36;23.36;2.51;9999;9999;23;23;3894;3890;3893;3895;3890;3892;0;;;;18.26094097;;;;;;;;
23.35;9.789878366;1708;0B5MEVA001A45JC9X0000015;124;3551;30/06/2023 11:36;23.35;2.49;9999;9999;23;23;3893;3893;3893;3892;3892;3890;0;;;;9.789878366;;;;;;;;
23.35;23.74319228;1707;0B5MEVA001A45JC9X0000363;491;3551;30/06/2023 11:04;23.37;2.53;9999;9999;23;23;3893;3892;3892;3898;3898;3894;0;;;;23.74319228;;;;;;;;
23.35;18.26094097;1706;0B5MEVA001A45JC9W0000093;353;3551;30/06/2023 11:03;23.36;2.52;9999;9999;23;23;3893;3894;3892;3894;3892;3896;0;;;;18.26094097;;;;;;;;
23.35;23.74319228;1705;0B5MEVA001A45JC9V0000227;490;3551;30/06/2023 11:02;23.37;2.55;9999;9999;23;23;3898;3898;3892;3892;3894;3893;0;;;;23.74319228;;;;;;;;
23.35;23.74319228;1704;0B5MEVA001A45JC9X0000264;489;3551;30/06/2023 11:02;23.37;2.54;9999;9999;23;23;3894;3892;3903;3894;3892;3892;0;;;;23.74319228;;;;;;;;
23.35;18.26094097;1703;0B5MEVA001A45JC9X0000245;352;3551;30/06/2023 11:00;23.36;2.51;9999;9999;23;23;3894;3893;3893;3892;3892;3894;0;;;;18.26094097;;;;;;;;
23.35;9.789878366;1702;0B5MEVA001A45JC9W0000434;123;3551;30/06/2023 10:58;23.35;2.5;9999;9999;23;22;3892;3893;3890;3893;3893;3892;0;;;;9.789878366;;;;;;;;
23.35;21.51915268;1701;0B5MEVA001A45JC9Y0000255;645;3551;30/06/2023 10:57;23.38;2.57;9999;9999;23;23;3901;3900;3896;3892;3894;3894;1;;;;21.51915268;;;;;;;;
23.35;18.26094097;1700;0B5MEVA001A45JC9T0000031;351;3551;30/06/2023 10:56;23.36;2.5;9999;9999;22;23;3895;3894;3893;3890;3892;3890;0;;;;18.26094097;;;;;;;;
23.35;23.74319228;1699;0B5MEVA001A45JC9X0000079;488;3551;30/06/2023 10:55;23.37;2.52;9999;9999;23;23;3895;3894;3894;3894;3895;3893;0;;;;23.74319228;;;;;;;;
23.35;9.789878366;1698;0B5MEVA001A45JC9W0000159;122;3551;30/06/2023 10:54;23.35;2.51;9999;9999;23;23;3894;3893;3888;3893;3892;3894;0;;;;9.789878366;;;;;;;;
23.35;18.26094097;1697;0B5MEVA001A45JC9W0000112;350;3551;30/06/2023 10:54;23.36;2.51;9999;9999;23;23;3895;3893;3893;3892;3889;3893;0;;;;18.26094097;;;;;;;;
